"TASMSOL"
.ALTWILD

SHL AL,CL			9E		1		 NOP 		 1
SHL B,U8			9FFD		3		 NOP 		 1
SHL B,CL			9F		1		 NOP 		 1

SHL BL,U8			A0FD		3		 NOP 		 1
SHL BL,CL			A0		1		 NOP 		 1
SHR A,U8			A1FD		3		 NOP 		 1
SHR A,CL			A1		1		 NOP 		 1
SHR AL,U8			A2FD		3		 NOP 		 1
SHR AL,CL			A2		1		 NOP 		 1
SHR B,U8			A3FD		3		 NOP 		 1
SHR B,CL			A3		1		 NOP 		 1
SHR BL,U8			A4FD		3		 NOP 		 1
SHR BL,CL			A4		1		 NOP 		 1
ASHR A,U8			A5FD		3		 NOP 		 1
ASHR A,CL			A5		1		 NOP 		 1
ASHR AL,U8			A6FD		3		 NOP 		 1
ASHR AL,CL			A6		1		 NOP 		 1
MOV BH,U8			A7		2		 NOP 		 1
MOV AL,CH			A8		1		 NOP 		 1
LOOPB U16			A9FD		4		 NOP 		 1
LOOPC U16			A9		3		 NOP 		 1
SWP A			AAFD		2		 NOP 		 1
SNEX A			AA		1		 NOP 		 1
SWP B			ABFD		2		 NOP 		 1
SNEX B			AB		1		 NOP 		 1
MUL A,C			ACFD		2		 NOP 		 1
MUL A,B			AC		1		 NOP 		 1
MUL AL,BL			AD		1		 NOP 		 1
DIV A,B			AE		1		 NOP 		 1
CMP A,I16			AF		3		 NOP 		 1

CMP A,B			B0		1		 NOP 		 1
CMP A,C			B1		1		 NOP 		 1
CMP A,D			B2		1		 NOP 		 1
CMP WORD[U16],U16			B3		5		 NOP 		 1
CMP WORD[D],U16			B4		3		 NOP 		 1
CMP WORD[D+I16],U16			B5		5		 NOP 		 1
CMP WORD[SP+I16],U16			B6FD		6		 NOP 		 1
CMP WORD[BP+I16],U16			B6		5		 NOP 		 1
MOV A,[A+I16]			B7		3		 NOP 		 1
MOV WORD[U16],U16			B8		5		 NOP 		 1
CMP AL,I8			B9		2		 NOP 		 1
CMP AL,BL			BA		1		 NOP 		 1
CMP AL,CL			BB		1		 NOP 		 1
CMP BYTE[U16],U8			BC		4		 NOP 		 1
CMP BYTE[D],U8			BD		2		 NOP 		 1
CMP BYTE[D+I16],U8			BE		4		 NOP 		 1
CMP BYTE[SP+I16],U8			BFFD		5		 NOP 		 1
CMP BYTE[BP+I16],U8			BF		4		 NOP 		 1

CMP B,C			C0FD		2		 NOP 		 1
CMP B,I16			C0		3		 NOP 		 1
CMP BL,I8			C1		2		 NOP 		 1
CMP C,I16			C2		3		 NOP 		 1
ADD BYTE [U16],I8			C3FD		5		 NOP 		 1
CMP CL,I8			C3		2		 NOP 		 1
ADD BYTE [D],I8			C4FD		3		 NOP 		 1
CMP CH,I8			C4		2		 NOP 		 1
ADD BYTE [D+I16],I8			C5FD		5		 NOP 		 1
CMP D,I16			C5		3		 NOP 		 1
ADD BYTE [BP+I16],I8			C6FD		5		 NOP 		 1
JZ U16			C6		3		 NOP 		 1
ADD BYTE [SP+I16],I8			C7FD		5		 NOP 		 1
JNZ U16			C7		3		 NOP 		 1
ADD WORD [U16],I16			C8FD		6		 NOP 		 1
JC u16			C8		3		 NOP 		 1
JLU u16			C8		3		 NOP 		 1
ADD WORD [D],I16			C9FD		4		 NOP 		 1
JNC u16			C9		3		 NOP 		 1
JGEU u16			C9		3		 NOP 		 1
ADD WORD [D+I16],I16			CAFD		6		 NOP 		 1
JNEG U16			CA		3		 NOP 		 1
ADD WORD [BP+I16],I16			CBFD		6		 NOP 		 1
JPOS U16			CB		3		 NOP 		 1
ADD WORD [SP+I16],I16			CCFD		6		 NOP 		 1
JL U16			CC		3		 NOP 		 1
SUB BYTE [U16],I8			CDFD		5		 NOP 		 1
JLE U16			CD		3		 NOP 		 1
SUB BYTE [D],I8			CEFD		3		 NOP 		 1
JG U16			CE		3		 NOP 		 1
SUB BYTE [D+I16],I8			CFFD		5		 NOP 		 1
JGE U16			CF		3		 NOP 		 1

SUB BYTE [BP+I16],I8			D0FD		5		 NOP 		 1
JLEU U16			D0		3		 NOP 		 1
SUB BYTE [SP+I16],I8			D1FD		5		 NOP 		 1
JGU U16			D1		3		 NOP 		 1
SUB WORD [U16],I16			D2FD		6		 NOP 		 1
PUSH BP			D2		1		 NOP 		 1
SUB WORD [D],I16			D3FD		4		 NOP 		 1
ADD SI,I16			D3		3		 NOP 		 1
SUB WORD [D+I16],I16			D4FD		6		 NOP 		 1
ADD DI,I16			D4		3		 NOP 		 1
SUB WORD [BP+I16],I16			D5FD		6		 NOP 		 1
SUB SI,I16			D5		3		 NOP 		 1
SUB WORD [SP+I16],I16			D6FD		6		 NOP 		 1
SUB DI,I16			D6		3		 NOP 		 1
PUSH WORD U16			D7FD		4		 NOP 		 1
PUSH A			D7		1		 NOP 		 1
PUSH G			D8FD		2		 NOP 		 1
PUSH B			D8		1		 NOP 		 1
PUSH C			D9		1		 NOP 		 1
PUSH D			DA		1		 NOP 		 1
PUSH BYTE U8			DBFD		3		 NOP 		 1
PUSH AL			DB		1		 NOP 		 1
PUSH AH			DC		1		 NOP 		 1
PUSH BL			DD		1		 NOP 		 1
ROL A,CL			DEFD		2		 NOP 		 1
PUSH BH			DE		1		 NOP 		 1
ROL AL,CL			DFFD		2		 NOP 		 1
PUSH CL			DF		1		 NOP 		 1

RLC A,CL			E0FD		2		 NOP 		 1
PUSH CH			E0		1		 NOP 		 1
RLC AL,CL			E1FD		2		 NOP 		 1
PUSHF			E1		1		 NOP 		 1
ROR A,CL			E2FD		2		 NOP 		 1
PUSH SI			E2		1		 NOP 		 1
ROR AL,CL			E3FD		2		 NOP 		 1
PUSH DI			E3		1		 NOP 		 1
RRC A,CL			E4FD		2		 NOP 		 1
POP A			E4		1		 NOP 		 1
RRC AL,CL			E5FD		2		 NOP 		 1
POP B			E5		1		 NOP 		 1
ROL B,CL			E6FD		2		 NOP 		 1
POP C			E6		1		 NOP 		 1
ROL BL,CL			E7FD		2		 NOP 		 1
POP D			E7		1		 NOP 		 1
RLC B,CL			E8FD		2		 NOP 		 1
POP AL			E8		1		 NOP 		 1
RLC BL,CL			E9FD		2		 NOP 		 1
POP AH			E9		1		 NOP 		 1
ROR B,CL			EAFD		2		 NOP 		 1
POP BL			EA		1		 NOP 		 1
ROR BL,CL			EBFD		2		 NOP 		 1
POP BH			EB		1		 NOP 		 1
RRC B,CL			ECFD		2		 NOP 		 1
POP CL			EC		1		 NOP 		 1
RRC BL,CL			EDFD		2		 NOP 		 1
POP CH			ED		1		 NOP 		 1
POPF ""			EE		1		 NOP 		 1
POP SI			EF		1		 NOP 		 1

POP DI			F0		1		 NOP 		 1
POP G			F1FD		2		 NOP 		 1
POP BP			F1		1		 NOP 		 1
MOV BYTE[U16],U8			F2		4		 NOP 		 1
REPZ cmpsb ""			F3FD		2		 NOP 		 1
REPE cmpsb ""			F3FD		2		 NOP 		 1
CMPSB ""			F3		1		 NOP 		 1
SCANSB ""			F4		1		 NOP 		 1
REP MOVSB ""			F5FD		2		 NOP 		 1
MOVSB ""			F5		1		 NOP 		 1
REPNZ cmpsb ""			F6FD		2		 NOP 		 1
REPNZ cmpsb ""			F6FD		2		 NOP 		 1
LODSB ""			F6		1		 NOP 		 1
REP STOSB ""			F7FD		2		 NOP 		 1
STOSB ""			F7		1		 NOP 		 1
LEA D,[BP+A*2^U8+B]			F8FD		3		 NOP 		 1
ENTER U16			F8		3		 NOP 		 1
LEA D,[U16+A*2^U8+B]			F9FD		5		 NOP 		 1
LEAVE ""			F9		1		 NOP 		 1
LEA D,[SP+U16]			FAFD		4		 NOP 		 1
LEA D,[BP+U16]			FA		3		 NOP 		 1
LEA D,[SI+U16]			FB		3		 NOP 		 1
LEA D,[DI+U16]			FC		3		 NOP 		 1
ESC U8			FD		2		 NOP 		 1
NOP ""			FE		1		 NOP 		 1
HALT ""			FF		1		 NOP 		 1
